,Date,Open,High,Low,Close,Shares Traded,Turnover (Rs. Cr)
0,01-Jan-2020,12202.15,12222.2,12165.3,12182.5,304078039,10445.68
1,02-Jan-2020,12198.55,12289.9,12195.25,12282.2,407697594,15256.55
2,03-Jan-2020,12261.1,12265.6,12191.35,12226.65,428770054,16827.27
3,06-Jan-2020,12170.6,12179.1,11974.2,11993.05,396501419,16869.22
4,07-Jan-2020,12079.1,12152.15,12005.35,12052.95,447818617,17797.68
5,08-Jan-2020,11939.1,12044.95,11929.6,12025.35,445991640,18281.15
6,09-Jan-2020,12153.15,12224.05,12132.55,12215.9,477469878,18456.64
7,10-Jan-2020,12271.0,12311.2,12213.2,12256.8,660627930,18818.62
8,13-Jan-2020,12296.7,12337.75,12285.8,12329.55,500968242,17522.13
9,14-Jan-2020,12333.1,12374.25,12308.7,12362.3,616260555,17948.92
10,15-Jan-2020,12349.4,12355.15,12278.75,12343.3,684352965,17882.51
11,16-Jan-2020,12347.1,12389.05,12315.8,12355.5,395670245,16004.06
12,17-Jan-2020,12328.4,12385.45,12321.4,12352.35,502060615,21397.63
13,20-Jan-2020,12430.5,12430.5,12216.9,12224.55,491609317,21415.43
14,21-Jan-2020,12195.3,12230.05,12162.3,12169.85,443976442,18682.65
15,22-Jan-2020,12218.35,12225.05,12087.9,12106.9,526294513,19758.68
16,23-Jan-2020,12123.75,12189.0,12094.1,12180.35,867653663,23829.39
17,24-Jan-2020,12174.55,12272.15,12149.65,12248.25,593237908,18032.27
18,27-Jan-2020,12197.1,12216.6,12107.0,12119.0,441158138,17988.61
19,28-Jan-2020,12148.1,12163.55,12024.5,12055.8,478484057,20917.62
20,29-Jan-2020,12114.9,12169.6,12103.8,12129.5,514362340,20646.18
21,30-Jan-2020,12147.75,12150.3,12010.6,12035.8,538138743,19372.67
22,31-Jan-2020,12100.4,12103.55,11945.85,11962.1,771278258,26044.91
23,01-Feb-2020,11939.0,12017.35,11633.3,11661.85,537634767,20598.12
24,03-Feb-2020,11627.45,11749.85,11614.5,11707.9,669815788,25415.26
25,04-Feb-2020,11786.25,11986.15,11783.4,11979.65,560430291,22338.5
26,05-Feb-2020,12005.85,12098.15,11953.35,12089.15,758032580,22998.05
27,06-Feb-2020,12120.0,12160.6,12084.65,12137.95,565116236,21735.92
28,07-Feb-2020,12151.15,12154.7,12073.95,12098.35,473475144,16339.61
29,10-Feb-2020,12102.35,12103.55,11990.75,12031.5,525674715,17185.14
30,11-Feb-2020,12108.4,12172.3,12099.0,12107.9,480491557,16209.52
31,12-Feb-2020,12151.0,12231.75,12144.3,12201.2,412399174,16598.33
32,13-Feb-2020,12219.55,12225.65,12139.8,12174.65,501510138,16315.27
33,14-Feb-2020,12190.15,12246.7,12091.2,12113.45,623053270,20759.51
34,17-Feb-2020,12131.8,12159.6,12037.0,12045.8,455412408,15439.55
35,18-Feb-2020,12028.25,12030.75,11908.05,11992.5,677307424,18853.0
36,19-Feb-2020,12090.6,12134.7,12042.1,12125.9,514030605,17610.89
37,20-Feb-2020,12119.0,12152.0,12071.45,12080.85,502875583,18831.51
38,24-Feb-2020,12012.55,12012.55,11813.4,11829.4,491224913,19421.04
39,25-Feb-2020,11877.5,11883.05,11779.9,11797.9,461349973,18510.82
40,26-Feb-2020,11738.55,11783.25,11639.6,11678.5,567990976,21887.07
41,27-Feb-2020,11661.25,11663.85,11536.7,11633.3,609266324,21623.47
42,28-Feb-2020,11382.0,11384.8,11175.05,11201.75,810523106,32297.15
43,02-Mar-2020,11387.35,11433.0,11036.25,11132.75,681148567,24204.55
44,03-Mar-2020,11217.55,11342.25,11152.55,11303.3,696919348,23281.2
45,04-Mar-2020,11351.35,11356.6,11082.15,11251.0,798021596,26928.46
46,05-Mar-2020,11306.05,11389.5,11244.6,11269.0,1353209029,26980.65
47,06-Mar-2020,10942.65,11035.1,10827.4,10989.45,1811564187,26455.29
48,09-Mar-2020,10742.05,10751.55,10294.45,10451.45,1566119057,35151.79
49,11-Mar-2020,10334.3,10545.1,10334.0,10458.4,1219079693,32548.47
50,12-Mar-2020,10039.95,10040.75,9508.0,9590.15,1344263317,39283.97
51,13-Mar-2020,9107.6,10159.4,8555.15,9955.2,1389061775,44167.89
52,16-Mar-2020,9587.8,9602.2,9165.1,9197.4,898523271,29181.8
53,17-Mar-2020,9285.4,9403.8,8915.6,8967.05,936185892,28004.16
54,18-Mar-2020,9088.45,9127.55,8407.05,8468.8,1517275761,39256.71
55,19-Mar-2020,8063.3,8575.45,7832.55,8263.45,926508824,34274.23
56,20-Mar-2020,8284.45,8883.0,8178.2,8745.45,1072263600,37321.25
57,23-Mar-2020,7945.7,8159.25,7583.6,7610.25,654151814,23891.9
